# name: ACS25-44
# attribute -- name: Gender, editable: true
# attribute -- name: Age, type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Marital, description: marital status, type: categorical, precision: 2, editable: false
# attribute -- name: Education, description: highest grade, type: categorical, precision: 2, editable: true
# attribute -- name: TotalIncome, description: total income, type: numeric, precision: 0, editable: true
# attribute -- name: Race, editable: true
# attribute -- name: Hispanic, description: Hispanic/Latin@ status, type: categorical, precision: 2, editable: true
# attribute -- name: EmplStatus, description: employment status, type: categorical, precision: 2, editable: true
Gender,Age,Marital,Education,TotalIncome,Race,Hispanic,EmplStatus
Female,41,Married,some college,0,Asian,Not Hisp,Not in labor force
Female,41,Married,some college,0,White,Not Hisp,Not in labor force
Male,41,Never,HS Grad,0,Black,Not Hisp,Not in labor force
Female,41,Married,HS Grad,0,Other,Other Hisp/Latino,Not in labor force
Female,41,Married,some HS,10000,White,Mexican,Unemployed
Female,41,Divorced,some HS,0,White,Not Hisp,Unemployed
Female,41,Married,some college,0,White,Not Hisp,Unemployed
Female,41,Married,some college,0,White,Not Hisp,Unemployed
Male,42,Married,some HS,23000,Other,Mexican,Civ Employed
Female,42,Married,some HS,30000,White,Mexican,Civ Employed
Female,42,Married,some college,23000,White,Mexican,Civ Employed
Female,42,Married,some college,37000,White,Mexican,Civ Employed
Male,42,Married,some HS,90000,White,Mexican,Civ Employed
Male,42,Married,8 or less,52000,White,Mexican,Civ Employed
Male,42,Never,HS Grad,25500,Other,Mexican,Civ Employed
Male,42,Never,some college,55000,White,Mexican,Civ Employed
Male,42,Never,HS Grad,16900,White,Mexican,Civ Employed
Female,42,Divorced,bachelor's,54000,White,Not Hisp,Civ Employed
Female,42,Divorced,some college,11300,White,Not Hisp,Civ Employed
Male,42,Divorced,bachelor's,150000,White,Not Hisp,Civ Employed
Male,42,Divorced,bachelor's,140000,White,Not Hisp,Civ Employed
Female,42,Married,graduate,78000,Asian,Not Hisp,Civ Employed
Female,42,Married,some college,70000,Asian,Not Hisp,Civ Employed
Female,42,Married,graduate,40000,Asian,Not Hisp,Civ Employed
Male,42,Married,graduate,189900,Asian,Not Hisp,Civ Employed
Male,42,Married,some HS,15200,Asian,Not Hisp,Civ Employed
Male,42,Married,bachelor's,150000,Asian,Not Hisp,Civ Employed
Female,42,Married,bachelor's,36000,Multi,Not Hisp,Civ Employed
Female,42,Married,bachelor's,45000,White,Not Hisp,Civ Employed
Female,42,Married,some college,80000,White,Not Hisp,Civ Employed
Female,42,Married,bachelor's,40000,White,Not Hisp,Civ Employed
Female,42,Married,some college,45000,White,Not Hisp,Civ Employed
Female,42,Married,some college,40000,White,Not Hisp,Civ Employed
Female,42,Married,graduate,30800,White,Not Hisp,Civ Employed
Male,42,Married,bachelor's,421000,White,Not Hisp,Civ Employed
Male,42,Married,some college,40000,White,Not Hisp,Civ Employed
Male,42,Married,HS Grad,32000,White,Not Hisp,Civ Employed
Male,42,Married,some college,89530,White,Not Hisp,Civ Employed
Male,42,Married,bachelor's,120000,White,Not Hisp,Civ Employed
Male,42,Married,some college,80000,White,Not Hisp,Civ Employed
Male,42,Married,bachelor's,92000,White,Not Hisp,Civ Employed
Male,42,Married,bachelor's,317800,White,Not Hisp,Civ Employed
Male,42,Never,HS Grad,1000,Black,Not Hisp,Civ Employed
Female,42,Never,bachelor's,55000,White,Not Hisp,Civ Employed
Female,42,Never,bachelor's,421000,White,Not Hisp,Civ Employed
Female,42,Never,bachelor's,87000,White,Not Hisp,Civ Employed
Female,42,Never,graduate,421000,White,Not Hisp,Civ Employed
Male,42,Never,graduate,47500,White,Not Hisp,Civ Employed
Male,42,Never,bachelor's,90000,White,Not Hisp,Civ Employed
Male,42,Never,bachelor's,39050,White,Not Hisp,Civ Employed
Male,42,Married,bachelor's,60000,Black,Puerto Rican,Civ Employed
Female,42,Never,8 or less,15400,Other,Mexican,Civ Employed-not working
Female,42,Married,bachelor's,90000,Asian,Not Hisp,Civ Employed-not working
Female,42,Married,HS Grad,0,Other,Mexican,Not in labor force
Male,42,Never,some HS,0,Other,Mexican,Not in labor force
Male,42,Divorced,some HS,11100,White,Not Hisp,Not in labor force
Female,42,Married,graduate,0,Asian,Not Hisp,Not in labor force
Female,42,Married,8 or less,0,Asian,Not Hisp,Not in labor force
Female,42,Married,some college,0,Asian,Not Hisp,Not in labor force
Female,42,Divorced,graduate,34000,Asian,Not Hisp,Unemployed
Male,42,Married,8 or less,6000,Asian,Not Hisp,Unemployed
Male,42,Married,some college,0,White,Not Hisp,Unemployed
Male,42,Never,HS Grad,4000,White,Not Hisp,Unemployed
Female,42,Divorced,some HS,0,Multi,Other Hisp/Latino,Unemployed
Female,42,Married,HS Grad,200,White,Puerto Rican,Unemployed
Female,43,Married,8 or less,7000,Other,Honduran,Civ Employed
Male,43,Married,some HS,38000,Other,Mexican,Civ Employed
Male,43,Married,graduate,80000,Other,Mexican,Civ Employed
Female,43,Married,some college,27000,White,Mexican,Civ Employed
Male,43,Married,bachelor's,99000,White,Mexican,Civ Employed
Male,43,Married,HS Grad,37000,White,Mexican,Civ Employed
Female,43,Never,graduate,60000,Multi,Mexican,Civ Employed
Male,43,Never,HS Grad,22000,Other,Mexican,Civ Employed
Female,43,Never,some HS,10000,White,Mexican,Civ Employed
Female,43,Separated,HS Grad,1900,Other,Mexican,Civ Employed
Female,43,Divorced,graduate,175020,White,Not Hisp,Civ Employed
Male,43,Divorced,HS Grad,82000,White,Not Hisp,Civ Employed
Female,43,Married,graduate,-2400,Asian,Not Hisp,Civ Employed
Female,43,Married,some college,40000,Asian,Not Hisp,Civ Employed
Female,43,Married,some HS,23000,Asian,Not Hisp,Civ Employed
Female,43,Married,bachelor's,100000,White,Not Hisp,Civ Employed
Female,43,Married,graduate,61000,White,Not Hisp,Civ Employed
Male,43,Married,HS Grad,70000,White,Not Hisp,Civ Employed
Male,43,Married,graduate,421000,White,Not Hisp,Civ Employed
Male,43,Married,graduate,70000,White,Not Hisp,Civ Employed
Male,43,Married,HS Grad,45000,White,Not Hisp,Civ Employed
Male,43,Married,HS Grad,45100,White,Not Hisp,Civ Employed
Male,43,Married,graduate,180000,White,Not Hisp,Civ Employed
Male,43,Married,some college,95000,White,Not Hisp,Civ Employed
Female,43,Never,some college,21600,Black,Not Hisp,Civ Employed
Male,43,Never,bachelor's,10000,Black,Not Hisp,Civ Employed
Male,43,Never,bachelor's,21000,Black,Not Hisp,Civ Employed
Male,43,Never,bachelor's,78000,White,Not Hisp,Civ Employed
Male,43,Married,some college,37000,Multi,Other Hisp/Latino,Civ Employed
Male,43,Married,some HS,45000,White,Other Hisp/Latino,Civ Employed
Female,43,Married,8 or less,0,Other,Mexican,Not in labor force
Female,43,Married,HS Grad,0,White,Mexican,Not in labor force
Female,43,Married,graduate,0,White,Mexican,Not in labor force
Female,43,Married,bachelor's,0,Asian,Not Hisp,Not in labor force
Male,43,Never,some college,0,White,Not Hisp,Not in labor force
Male,43,Never,bachelor's,13000,White,Salvadoran,Not in labor force
Male,43,Married,8 or less,0,White,Mexican,Unemployed
Male,43,Never,HS Grad,11000,White,Mexican,Unemployed
Male,43,Married,bachelor's,0,Black,Not Hisp,Unemployed
Male,43,Never,graduate,9500,Asian,Not Hisp,Unemployed
Female,44,Married,8 or less,76000,Other,Guatemalan,Civ Employed
Female,44,Divorced,some college,39000,Other,Mexican,Civ Employed
Female,44,Married,8 or less,19200,Multi,Mexican,Civ Employed
Male,44,Married,some HS,30000,Other,Mexican,Civ Employed
Female,44,Married,some HS,7200,White,Mexican,Civ Employed
Male,44,Married,some HS,40000,White,Mexican,Civ Employed
Male,44,Married,HS Grad,39000,White,Mexican,Civ Employed
Female,44,Never,8 or less,24000,Other,Mexican,Civ Employed
Male,44,Never,some college,18200,Other,Mexican,Civ Employed
Male,44,Divorced,graduate,95000,Asian,Not Hisp,Civ Employed
Male,44,Divorced,some college,170000,White,Not Hisp,Civ Employed
Male,44,Divorced,bachelor's,60000,White,Not Hisp,Civ Employed
Male,44,Divorced,graduate,44000,White,Not Hisp,Civ Employed
Female,44,Married,HS Grad,14150,Asian,Not Hisp,Civ Employed
Male,44,Married,bachelor's,155500,Asian,Not Hisp,Civ Employed
Male,44,Married,some college,84300,Asian,Not Hisp,Civ Employed
Male,44,Married,HS Grad,12000,Asian,Not Hisp,Civ Employed
Male,44,Married,graduate,120000,Asian,Not Hisp,Civ Employed
Male,44,Married,graduate,79370,Black,Not Hisp,Civ Employed
Female,44,Married,bachelor's,150000,White,Not Hisp,Civ Employed
Female,44,Married,HS Grad,30000,White,Not Hisp,Civ Employed
Female,44,Married,bachelor's,48000,White,Not Hisp,Civ Employed
Female,44,Married,some college,41000,White,Not Hisp,Civ Employed
Male,44,Married,HS Grad,20000,White,Not Hisp,Civ Employed
Male,44,Married,graduate,130000,White,Not Hisp,Civ Employed
Male,44,Married,some college,34500,White,Not Hisp,Civ Employed
Male,44,Married,HS Grad,50000,White,Not Hisp,Civ Employed
Male,44,Married,some HS,70000,White,Not Hisp,Civ Employed
Male,44,Never,HS Grad,15000,Black,Not Hisp,Civ Employed
Female,44,Separated,bachelor's,40000,Asian,Not Hisp,Civ Employed
Female,44,Widowed,some HS,40000,Black,Not Hisp,Civ Employed
Male,44,Widowed,bachelor's,99000,White,Not Hisp,Civ Employed
Female,44,Married,HS Grad,50000,White,Salvadoran,Civ Employed
Female,44,Married,graduate,250000,White,Spaniard,Civ Employed
Male,44,Married,HS Grad,30000,White,Not Hisp,Civ Employed-not working
Female,44,Married,some college,0,White,Not Hisp,Not in labor force
Female,44,Married,bachelor's,0,White,Not Hisp,Not in labor force
Female,44,Never,HS Grad,27000,Asian,Not Hisp,Not in labor force
Male,44,Never,8 or less,8400,Black,Not Hisp,Not in labor force
Male,44,Married,bachelor's,20000,White,Not Hisp,Unemployed
